"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"D1","1","LED","","","","LED_THT:LED_D5.0mm","~"
"D2","1","LED","","","","LED_THT:LED_D5.0mm","~"
"D3","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D4","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D5","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D6","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D7","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D8","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D9","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D10","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D11","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D12","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D13","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D14","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D15","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D16","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D17","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D18","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D19","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D20","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D21","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D22","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D23","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D24","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D25","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D26","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D27","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D28","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D29","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D30","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D31","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D32","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D33","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D34","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D35","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D36","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D37","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D38","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D39","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D40","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D41","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D42","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D43","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D44","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D45","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D46","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D47","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D48","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D49","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D50","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D51","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D52","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D53","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D54","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D55","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D56","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D57","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D58","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D59","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D60","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D61","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D62","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D63","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D64","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"D65","1","LED","","","","LED_SMD:LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
